node,degree,betweenness,closeness,eigenvector,community
Jon Arryn,0.018867924528301886,0.0005764583325230229,0.34527687296416937,0.023745419679181187,3.0
Lancel,0.009433962264150943,0.0,0.2760416666666667,0.006676656510967679,0.0
Olenna,0.018867924528301886,0.0,0.3408360128617363,0.03010502336558319,0.0
Marillion,0.02830188679245283,0.0,0.34415584415584416,0.032176207707041805,2.0
Robert Arryn,0.02830188679245283,0.0,0.34415584415584416,0.032176207707041805,2.0
Ellaria,0.018867924528301886,0.0,0.3419354838709677,0.03143903332936219,0.0
Mace,0.02830188679245283,0.0,0.34868421052631576,0.04846064172462232,0.0
Rickard,0.018867924528301886,0.0,0.3302180685358255,0.02481949470182967,2.0
Ramsay,0.009433962264150943,0.0,0.32919254658385094,0.018535049357472157,2.0
Chataya,0.018867924528301886,0.0,0.3408360128617363,0.031102058926265132,0.0
Shireen,0.009433962264150943,0.0,0.25,0.0011422440283832,1.0
Doran,0.009433962264150943,0.0,0.33974358974358976,0.025483487601205373,0.0
Walton,0.009433962264150943,0.0,0.32515337423312884,0.020716365171905275,0.0
